run_id,program_id,terminal,duration_s,started_at
1776488942-db43aa,apps--build-whitepaper-apps_py,COMPLETE,0.231,2026-04-18T05:09:02Z
1776488942-f8dc4e,components--build-catalog_py,COMPLETE,0.024,2026-04-18T05:09:02Z
1776488942-1caf30,pages--build-path-graph_py,COMPLETE,0.187,2026-04-18T05:09:02Z
1776488889-9d786e,db--build-local-tagdbs_py,COMPLETE,0.549,2026-04-18T05:08:09Z
1776488444-e471a9,api--build-api_py,COMPLETE,0.004,2026-04-18T05:00:44Z
1776488444-58ec70,api--build-csv-catalog_py,COMPLETE,0.012,2026-04-18T05:00:44Z
1776488444-81c16c,api--build-runtime-tags_py,COMPLETE,0.009,2026-04-18T05:00:44Z
